Rank,Title,Director,Actors
802,Seven Psychopaths,Martin McDonagh,"Colin Farrell, Woody Harrelson, Sam Rockwell,Christopher Walken"
803,Beowulf,Robert Zemeckis,"Ray Winstone, Crispin Glover, Angelina Jolie,Robin Wright"
804,Jack Ryan: Shadow Recruit,Kenneth Branagh,"Chris Pine, Kevin Costner, Keira Knightley,Kenneth Branagh"
805,1408,Mikael Håfström,"John Cusack, Samuel L. Jackson, Mary McCormack, Paul Birchard"
806,The Gambler,Rupert Wyatt,"Mark Wahlberg, Jessica Lange, John Goodman, Brie Larson"
807,Prince of Persia: The Sands of Time,Mike Newell,"Jake Gyllenhaal, Gemma Arterton, Ben Kingsley,Alfred Molina"
808,The Spectacular Now,James Ponsoldt,"Miles Teller, Shailene Woodley, Kyle Chandler,Jennifer Jason Leigh"
809,A United Kingdom,Amma Asante,"David Oyelowo, Rosamund Pike, Tom Felton, Jack Davenport"
810,USS Indianapolis: Men of Courage,Mario Van Peebles,"Nicolas Cage, Tom Sizemore, Thomas Jane,Matt Lanter"
811,Turbo Kid,François Simard,"Munro Chambers, Laurence Leboeuf, Michael Ironside, Edwin Wright"
812,Mama,Andrés Muschietti,"Jessica Chastain, Nikolaj Coster-Waldau, Megan Charpentier, Isabelle Nélisse"
813,Orphan,Jaume Collet-Serra,"Vera Farmiga, Peter Sarsgaard, Isabelle Fuhrman, CCH Pounder"
814,To Rome with Love,Woody Allen,"Woody Allen, Penélope Cruz, Jesse Eisenberg, Ellen Page"
815,Fantastic Mr. Fox,Wes Anderson,"George Clooney, Meryl Streep, Bill Murray, Jason Schwartzman"
816,Inside Man,Spike Lee,"Denzel Washington, Clive Owen, Jodie Foster,Christopher Plummer"
817,I.T.,John Moore,"Pierce Brosnan, Jason Barry, Karen Moskow, Kai Ryssdal"
818,127 Hours,Danny Boyle,"James Franco, Amber Tamblyn, Kate Mara, Sean Bott"
819,Annabelle,John R. Leonetti,"Ward Horton, Annabelle Wallis, Alfre Woodard,Tony Amendola"
820,Wolves at the Door,John R. Leonetti,"Katie Cassidy, Elizabeth Henstridge, Adam Campbell, Miles Fisher"
821,Suite Française,Saul Dibb,"Michelle Williams, Kristin Scott Thomas, Margot Robbie,Eric Godon"
822,The Imaginarium of Doctor Parnassus,Terry Gilliam,"Christopher Plummer, Lily Cole, Heath Ledger,Andrew Garfield"
823,G.I. Joe: The Rise of Cobra,Stephen Sommers,"Dennis Quaid, Channing Tatum, Marlon Wayans,Adewale Akinnuoye-Agbaje"
824,Christine,Antonio Campos,"Rebecca Hall, Michael C. Hall, Tracy Letts, Maria Dizzia"
825,Man Down,Dito Montiel,"Shia LaBeouf, Jai Courtney, Gary Oldman, Kate Mara"
826,Crawlspace,Phil Claydon,"Michael Vartan, Erin Moriarty, Nadine Velazquez,Ronnie Gene Blevins"
827,Shut In,Farren Blackburn,"Naomi Watts, Charlie Heaton, Jacob Tremblay,Oliver Platt"
828,The Warriors Gate,Matthias Hoene,"Mark Chao, Ni Ni, Dave Bautista, Sienna Guillory"
829,Grindhouse,Robert Rodriguez,"Kurt Russell, Rose McGowan, Danny Trejo, Zoë Bell"
830,Disaster Movie,Jason Friedberg,"Carmen Electra, Vanessa Lachey,Nicole Parker, Matt Lanter"
831,Rocky Balboa,Sylvester Stallone,"Sylvester Stallone, Antonio Tarver, Milo Ventimiglia, Burt Young"
832,Diary of a Wimpy Kid: Dog Days,David Bowers,"Zachary Gordon, Robert Capron, Devon Bostick,Steve Zahn"
833,Jane Eyre,Cary Joji Fukunaga,"Mia Wasikowska, Michael Fassbender, Jamie Bell, Su Elliot"
834,Fool's Gold,Andy Tennant,"Matthew McConaughey, Kate Hudson, Donald Sutherland, Alexis Dziena"
835,The Dictator,Larry Charles,"Sacha Baron Cohen, Anna Faris, John C. Reilly, Ben Kingsley"
836,The Loft,Erik Van Looy,"Karl Urban, James Marsden, Wentworth Miller, Eric Stonestreet"
837,Bacalaureat,Cristian Mungiu,"Adrian Titieni, Maria-Victoria Dragus, Lia Bugnar,Malina Manovici"
838,You Don't Mess with the Zohan,Dennis Dugan,"Adam Sandler, John Turturro, Emmanuelle Chriqui,Nick Swardson"
839,Exposed,Gee Malik Linton,"Ana de Armas, Keanu Reeves, Christopher McDonald, Mira Sorvino"
840,Maudie,Aisling Walsh,"Ethan Hawke, Sally Hawkins, Kari Matchett, Zachary Bennett"
841,Horrible Bosses 2,Sean Anders,"Jason Bateman, Jason Sudeikis, Charlie Day, Jennifer Aniston"
842,A Bigger Splash,Luca Guadagnino,"Tilda Swinton, Matthias Schoenaerts, Ralph Fiennes, Dakota Johnson"
843,Melancholia,Lars von Trier,"Kirsten Dunst, Charlotte Gainsbourg, Kiefer Sutherland, Alexander Skarsgård"
844,The Princess and the Frog,Ron Clements,"Anika Noni Rose, Keith David, Oprah Winfrey, Bruno Campos"
845,Unstoppable,Tony Scott,"Denzel Washington, Chris Pine, Rosario Dawson, Ethan Suplee"
846,Flight,Robert Zemeckis,"Denzel Washington, Nadine Velazquez, Don Cheadle, John Goodman"
847,Home,Tim Johnson,"Jim Parsons, Rihanna, Steve Martin, Jennifer Lopez"
848,La migliore offerta,Giuseppe Tornatore,"Geoffrey Rush, Jim Sturgess, Sylvia Hoeks,Donald Sutherland"
849,Mean Dreams,Nathan Morlando,"Sophie Nélisse, Josh Wiggins, Joe Cobden, Bill Paxton"
850,42,Brian Helgeland,"Chadwick Boseman, T.R. Knight, Harrison Ford,Nicole Beharie"
851,21,Robert Luketic,"Jim Sturgess, Kate Bosworth, Kevin Spacey, Aaron Yoo"
852,Begin Again,John Carney,"Keira Knightley, Mark Ruffalo, Adam Levine, Hailee Steinfeld"
853,Out of the Furnace,Scott Cooper,"Christian Bale, Casey Affleck, Zoe Saldana, Woody Harrelson"
854,Vicky Cristina Barcelona,Woody Allen,"Rebecca Hall, Scarlett Johansson, Javier Bardem,Christopher Evan Welch"
855,Kung Fu Panda,Mark Osborne,"Jack Black, Ian McShane,Angelina Jolie, Dustin Hoffman"
856,Barbershop: The Next Cut,Malcolm D. Lee,"Ice Cube, Regina Hall, Anthony Anderson, Eve"
857,Terminator Salvation,McG,"Christian Bale, Sam Worthington, Anton Yelchin, Moon Bloodgood"
858,Freedom Writers,Richard LaGravenese,"Hilary Swank, Imelda Staunton, Patrick Dempsey, Scott Glenn"
859,The Hills Have Eyes,Alexandre Aja,"Ted Levine, Kathleen Quinlan, Dan Byrd, Emilie de Ravin"
860,Changeling,Clint Eastwood,"Angelina Jolie, Colm Feore, Amy Ryan, Gattlin Griffith"
861,Remember Me,Allen Coulter,"Robert Pattinson, Emilie de Ravin, Caitlyn Rund,Moisés Acevedo"
862,Koe no katachi,Naoko Yamada,"Miyu Irino, Saori Hayami, Aoi Yuki, Kenshô Ono"
863,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Miguel Arteta,"Steve Carell, Jennifer Garner, Ed Oxenbould, Dylan Minnette"
864,Locke,Steven Knight,"Tom Hardy, Olivia Colman, Ruth Wilson, Andrew Scott"
865,The 9th Life of Louis Drax,Alexandre Aja,"Jamie Dornan, Aiden Longworth, Sarah Gadon,Aaron Paul"
866,Horns,Alexandre Aja,"Daniel Radcliffe, Juno Temple, Max Minghella, Joe Anderson"
867,Indignation,James Schamus,"Logan Lerman, Sarah Gadon, Tijuana Ricks, Sue Dahlman"
868,The Stanford Prison Experiment,Kyle Patrick Alvarez,"Ezra Miller, Tye Sheridan, Billy Crudup, Olivia Thirlby"
869,Diary of a Wimpy Kid: Rodrick Rules,David Bowers,"Zachary Gordon, Devon Bostick, Robert Capron,Rachael Harris"
870,Mission: Impossible III,J.J. Abrams,"Tom Cruise, Michelle Monaghan, Ving Rhames, Philip Seymour Hoffman"
871,En man som heter Ove,Hannes Holm,"Rolf Lassgård, Bahar Pars, Filip Berg, Ida Engvoll"
872,Dragonball Evolution,James Wong,"Justin Chatwin, James Marsters, Yun-Fat Chow, Emmy Rossum"
873,Red Dawn,Dan Bradley,"Chris Hemsworth, Isabel Lucas, Josh Hutcherson, Josh Peck"
874,One Day,Lone Scherfig,"Anne Hathaway, Jim Sturgess, Patricia Clarkson,Tom Mison"
875,Life as We Know It,Greg Berlanti,"Katherine Heigl, Josh Duhamel, Josh Lucas, Alexis Clagett"
876,28 Weeks Later,Juan Carlos Fresnadillo,"Jeremy Renner, Rose Byrne, Robert Carlyle, Harold Perrineau"
877,Warm Bodies,Jonathan Levine,"Nicholas Hoult, Teresa Palmer, John Malkovich,Analeigh Tipton"
878,Blue Jasmine,Woody Allen,"Cate Blanchett, Alec Baldwin, Peter Sarsgaard, Sally Hawkins"
879,G.I. Joe: Retaliation,Jon M. Chu,"Dwayne Johnson, Channing Tatum, Adrianne Palicki,Byung-hun Lee"
880,Wrath of the Titans,Jonathan Liebesman,"Sam Worthington, Liam Neeson, Rosamund Pike, Ralph Fiennes"
881,Shin Gojira,Hideaki Anno,"Hiroki Hasegawa, Yutaka Takenouchi,Satomi Ishihara, Ren Ôsugi"
882,Saving Mr. Banks,John Lee Hancock,"Emma Thompson, Tom Hanks, Annie Rose Buckley, Colin Farrell"
883,Transcendence,Wally Pfister,"Johnny Depp, Rebecca Hall, Morgan Freeman, Cillian Murphy"
884,Rio,Carlos Saldanha,"Jesse Eisenberg, Anne Hathaway, George Lopez,Karen Disher"
885,Equals,Drake Doremus,"Nicholas Hoult, Kristen Stewart, Vernetta Lopez,Scott Lawrence"
886,Babel,Alejandro González Iñárritu,"Brad Pitt, Cate Blanchett, Gael García Bernal, Mohamed Akhzam"
887,The Tree of Life,Terrence Malick,"Brad Pitt, Sean Penn, Jessica Chastain, Hunter McCracken"
888,The Lucky One,Scott Hicks,"Zac Efron, Taylor Schilling, Blythe Danner, Riley Thomas Stewart"
889,Piranha 3D,Alexandre Aja,"Elisabeth Shue, Jerry O'Connell, Richard Dreyfuss,Ving Rhames"
890,50/50,Jonathan Levine,"Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard"
891,The Intent,Femi Oyeniran,"Dylan Duffus, Scorcher,Shone Romulus, Jade Asha"
892,This Is 40,Judd Apatow,"Paul Rudd, Leslie Mann, Maude Apatow, Iris Apatow"
893,Real Steel,Shawn Levy,"Hugh Jackman, Evangeline Lilly, Dakota Goyo,Anthony Mackie"
894,Sex and the City,Michael Patrick King,"Sarah Jessica Parker, Kim Cattrall, Cynthia Nixon, Kristin Davis"
895,Rambo,Sylvester Stallone,"Sylvester Stallone, Julie Benz, Matthew Marsden, Graham McTavish"
896,Planet Terror,Robert Rodriguez,"Rose McGowan, Freddy Rodríguez, Josh Brolin,Marley Shelton"
897,Concussion,Peter Landesman,"Will Smith, Alec Baldwin, Albert Brooks, David Morse"
898,The Fall,Tarsem Singh,"Lee Pace, Catinca Untaru, Justine Waddell, Kim Uylenbroek"
899,The Ugly Truth,Robert Luketic,"Katherine Heigl, Gerard Butler, Bree Turner, Eric Winter"
900,Bride Wars,Gary Winick,"Kate Hudson, Anne Hathaway, Candice Bergen, Bryan Greenberg"
901,Sleeping with Other People,Leslye Headland,"Jason Sudeikis, Alison Brie, Jordan Carlos,Margarita Levieva"
902,Snakes on a Plane,David R. Ellis,"Samuel L. Jackson, Julianna Margulies, Nathan Phillips, Rachel Blanchard"
903,What If,Michael Dowse,"Daniel Radcliffe, Zoe Kazan, Megan Park, Adam Driver"
904,How to Train Your Dragon 2,Dean DeBlois,"Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson"
905,RoboCop,José Padilha,"Joel Kinnaman, Gary Oldman, Michael Keaton, Abbie Cornish"
906,In Dubious Battle,James Franco,"Nat Wolff, James Franco, Vincent D'Onofrio, Selena Gomez"
907,"Hello, My Name Is Doris",Michael Showalter,"Sally Field, Max Greenfield, Tyne Daly, Wendi McLendon-Covey"
908,Ocean's Thirteen,Steven Soderbergh,"George Clooney, Brad Pitt, Matt Damon,Michael Mantell"
909,Slither,James Gunn,"Nathan Fillion, Elizabeth Banks, Michael Rooker, Don Thompson"
910,Contagion,Steven Soderbergh,"Matt Damon, Kate Winslet, Jude Law, Gwyneth Paltrow"
911,Il racconto dei racconti - Tale of Tales,Matteo Garrone,"Salma Hayek, Vincent Cassel, Toby Jones, John C. Reilly"
912,I Am the Pretty Thing That Lives in the House,Oz Perkins,"Ruth Wilson, Paula Prentiss, Lucy Boynton, Bob Balaban"
913,Bridge to Terabithia,Gabor Csupo,"Josh Hutcherson, AnnaSophia Robb, Zooey Deschanel, Robert Patrick"
914,Coherence,James Ward Byrkit,"Emily Baldoni, Maury Sterling, Nicholas Brendon, Elizabeth Gracen"
915,Notorious,George Tillman Jr.,"Jamal Woolard, Anthony Mackie, Derek Luke,Momo Dione"
916,Goksung,Hong-jin Na,"Jun Kunimura, Jung-min Hwang, Do-won Kwak, Woo-hee Chun"
917,The Expendables 2,Simon West,"Sylvester Stallone, Liam Hemsworth, Randy Couture,Jean-Claude Van Damme"
918,The Girl Next Door,Gregory Wilson,"William Atherton, Blythe Auffarth, Blanche Baker,Kevin Chamberlin"
919,Perfume: The Story of a Murderer,Tom Tykwer,"Ben Whishaw, Dustin Hoffman, Alan Rickman,Francesc Albiol"
920,The Golden Compass,Chris Weitz,"Nicole Kidman, Daniel Craig, Dakota Blue Richards, Ben Walker"
921,Centurion,Neil Marshall,"Michael Fassbender, Dominic West, Olga Kurylenko,Andreas Wisniewski"
922,Scouts Guide to the Zombie Apocalypse,Christopher Landon,"Tye Sheridan, Logan Miller, Joey Morgan,Sarah Dumont"
923,17 Again,Burr Steers,"Zac Efron, Matthew Perry, Leslie Mann, Thomas Lennon"
924,No Escape,John Erick Dowdle,"Lake Bell, Pierce Brosnan, Owen Wilson,Chatchawai Kamonsakpitak"
925,Superman Returns,Bryan Singer,"Brandon Routh, Kevin Spacey, Kate Bosworth, James Marsden"
926,The Twilight Saga: Breaking Dawn - Part 1,Bill Condon,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Gil Birmingham"
927,Precious,Lee Daniels,"Gabourey Sidibe, Mo'Nique, Paula Patton, Mariah Carey"
928,The Sea of Trees,Gus Van Sant,"Matthew McConaughey, Naomi Watts, Ken Watanabe,Ryoko Seta"
929,Good Kids,Chris McCoy,"Zoey Deutch, Nicholas Braun, Mateo Arias, Israel Broussard"
930,The Master,Paul Thomas Anderson,"Philip Seymour Hoffman, Joaquin Phoenix,Amy Adams, Jesse Plemons"
931,Footloose,Craig Brewer,"Kenny Wormald, Julianne Hough, Dennis Quaid,Andie MacDowell"
932,If I Stay,R.J. Cutler,"Chloë Grace Moretz, Mireille Enos, Jamie Blackley,Joshua Leonard"
933,The Ticket,Ido Fluk,"Dan Stevens, Malin Akerman, Oliver Platt, Kerry Bishé"
934,Detour,Christopher Smith,"Tye Sheridan, Emory Cohen, Bel Powley,Stephen Moyer"
935,The Love Witch,Anna Biller,"Samantha Robinson, Jeffrey Vincent Parise, Laura Waddell, Gian Keys"
936,Talladega Nights: The Ballad of Ricky Bobby,Adam McKay,"Will Ferrell, John C. Reilly, Sacha Baron Cohen, Gary Cole"
937,The Human Centipede (First Sequence),Tom Six,"Dieter Laser, Ashley C. Williams, Ashlynn Yennie, Akihiro Kitamura"
938,Super,James Gunn,"Rainn Wilson, Ellen Page, Liv Tyler, Kevin Bacon"
939,The Siege of Jadotville,Richie Smyth,"Jamie Dornan, Mark Strong, Jason O'Mara, Michael McElhatton"
940,Up in the Air,Jason Reitman,"George Clooney, Vera Farmiga, Anna Kendrick,Jason Bateman"
941,The Midnight Meat Train,Ryûhei Kitamura,"Vinnie Jones, Bradley Cooper, Leslie Bibb, Brooke Shields"
942,The Twilight Saga: Eclipse,David Slade,"Kristen Stewart, Robert Pattinson, Taylor Lautner,Xavier Samuel"
943,Transpecos,Greg Kwedar,"Johnny Simmons, Gabriel Luna, Clifton Collins Jr.,David Acord"
944,What's Your Number?,Mark Mylod,"Anna Faris, Chris Evans, Ari Graynor, Blythe Danner"
945,Riddick,David Twohy,"Vin Diesel, Karl Urban, Katee Sackhoff, Jordi Mollà"
946,Triangle,Christopher Smith,"Melissa George, Joshua McIvor, Jack Taylor,Michael Dorman"
947,The Butler,Lee Daniels,"Forest Whitaker, Oprah Winfrey, John Cusack, Jane Fonda"
948,King Cobra,Justin Kelly,"Garrett Clayton, Christian Slater, Molly Ringwald,James Kelley"
949,After Earth,M. Night Shyamalan,"Jaden Smith, David Denman, Will Smith,Sophie Okonedo"
950,Kicks,Justin Tipping,"Jahking Guillory, Christopher Jordan Wallace,Christopher Meyer, Kofi Siriboe"
951,Me and Earl and the Dying Girl,Alfonso Gomez-Rejon,"Thomas Mann, RJ Cyler, Olivia Cooke, Nick Offerman"
952,The Descendants,Alexander Payne,"George Clooney, Shailene Woodley, Amara Miller, Nick Krause"
953,Sex and the City 2,Michael Patrick King,"Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon"
954,The Kings of Summer,Jordan Vogt-Roberts,"Nick Robinson, Gabriel Basso, Moises Arias,Nick Offerman"
955,Death Race,Paul W.S. Anderson,"Jason Statham, Joan Allen, Tyrese Gibson, Ian McShane"
956,That Awkward Moment,Tom Gormican,"Zac Efron, Michael B. Jordan, Miles Teller, Imogen Poots"
957,Legion,Scott Stewart,"Paul Bettany, Dennis Quaid, Charles S. Dutton, Lucas Black"
958,End of Watch,David Ayer,"Jake Gyllenhaal, Michael Peña, Anna Kendrick, America Ferrera"
959,3 Days to Kill,McG,"Kevin Costner, Hailee Steinfeld, Connie Nielsen, Amber Heard"
960,Lucky Number Slevin,Paul McGuigan,"Josh Hartnett, Ben Kingsley, Morgan Freeman, Lucy Liu"
961,Trance,Danny Boyle,"James McAvoy, Rosario Dawson, Vincent Cassel,Danny Sapani"
962,Into the Forest,Patricia Rozema,"Ellen Page, Evan Rachel Wood, Max Minghella,Callum Keith Rennie"
963,The Other Boleyn Girl,Justin Chadwick,"Natalie Portman, Scarlett Johansson, Eric Bana,Jim Sturgess"
964,I Spit on Your Grave,Steven R. Monroe,"Sarah Butler, Jeff Branson, Andrew Howard,Daniel Franzese"
965,Custody,James Lapine,"Viola Davis, Hayden Panettiere, Catalina Sandino Moreno, Ellen Burstyn"
966,Inland Empire,David Lynch,"Laura Dern, Jeremy Irons, Justin Theroux, Karolina Gruszka"
967,L'odyssée,Jérôme Salle,"Lambert Wilson, Pierre Niney, Audrey Tautou,Laurent Lucas"
968,The Walk,Robert Zemeckis,"Joseph Gordon-Levitt, Charlotte Le Bon,Guillaume Baillargeon, Émilie Leclerc"
969,Wrecker,Micheal Bafaro,"Anna Hutchison, Andrea Whitburn, Jennifer Koenig,Michael Dickson"
970,The Lone Ranger,Gore Verbinski,"Johnny Depp, Armie Hammer, William Fichtner,Tom Wilkinson"
971,Texas Chainsaw 3D,John Luessenhop,"Alexandra Daddario, Tania Raymonde, Scott Eastwood, Trey Songz"
972,Disturbia,D.J. Caruso,"Shia LaBeouf, David Morse, Carrie-Anne Moss, Sarah Roemer"
973,Rock of Ages,Adam Shankman,"Julianne Hough, Diego Boneta, Tom Cruise, Alec Baldwin"
974,Scream 4,Wes Craven,"Neve Campbell, Courteney Cox, David Arquette, Lucy Hale"
975,Queen of Katwe,Mira Nair,"Madina Nalwanga, David Oyelowo, Lupita Nyong'o, Martin Kabanza"
976,My Big Fat Greek Wedding 2,Kirk Jones,"Nia Vardalos, John Corbett, Michael Constantine, Lainie Kazan"
977,Dark Places,Gilles Paquet-Brenner,"Charlize Theron, Nicholas Hoult, Christina Hendricks, Chloë Grace Moretz"
978,Amateur Night,Lisa Addario,"Jason Biggs, Janet Montgomery,Ashley Tisdale, Bria L. Murphy"
979,It's Only the End of the World,Xavier Dolan,"Nathalie Baye, Vincent Cassel, Marion Cotillard, Léa Seydoux"
980,The Skin I Live In,Pedro Almodóvar,"Antonio Banderas, Elena Anaya, Jan Cornet,Marisa Paredes"
981,Miracles from Heaven,Patricia Riggen,"Jennifer Garner, Kylie Rogers, Martin Henderson,Brighton Sharbino"
982,Annie,Will Gluck,"Quvenzhané Wallis, Cameron Diaz, Jamie Foxx, Rose Byrne"
983,Across the Universe,Julie Taymor,"Evan Rachel Wood, Jim Sturgess, Joe Anderson, Dana Fuchs"
984,Let's Be Cops,Luke Greenfield,"Jake Johnson, Damon Wayans Jr., Rob Riggle, Nina Dobrev"
985,Max,Boaz Yakin,"Thomas Haden Church, Josh Wiggins, Luke Kleintank,Lauren Graham"
986,Your Highness,David Gordon Green,"Danny McBride, Natalie Portman, James Franco, Rasmus Hardiker"
987,Final Destination 5,Steven Quale,"Nicholas D'Agosto, Emma Bell, Arlen Escarpeta, Miles Fisher"
988,Endless Love,Shana Feste,"Gabriella Wilde, Alex Pettyfer, Bruce Greenwood,Robert Patrick"
989,Martyrs,Pascal Laugier,"Morjana Alaoui, Mylène Jampanoï, Catherine Bégin,Robert Toupin"
990,Selma,Ava DuVernay,"David Oyelowo, Carmen Ejogo, Tim Roth, Lorraine Toussaint"
991,Underworld: Rise of the Lycans,Patrick Tatopoulos,"Rhona Mitra, Michael Sheen, Bill Nighy, Steven Mackintosh"
992,Taare Zameen Par,Aamir Khan,"Darsheel Safary, Aamir Khan, Tanay Chheda, Sachet Engineer"
993,Take Me Home Tonight,Michael Dowse,"Topher Grace, Anna Faris, Dan Fogler, Teresa Palmer"
994,Resident Evil: Afterlife,Paul W.S. Anderson,"Milla Jovovich, Ali Larter, Wentworth Miller,Kim Coates"
995,Project X,Nima Nourizadeh,"Thomas Mann, Oliver Cooper, Jonathan Daniel Brown, Dax Flame"
996,Secret in Their Eyes,Billy Ray,"Chiwetel Ejiofor, Nicole Kidman, Julia Roberts, Dean Norris"
997,Hostel: Part II,Eli Roth,"Lauren German, Heather Matarazzo, Bijou Phillips, Roger Bart"
998,Step Up 2: The Streets,Jon M. Chu,"Robert Hoffman, Briana Evigan, Cassie Ventura, Adam G. Sevani"
999,Search Party,Scot Armstrong,"Adam Pally, T.J. Miller, Thomas Middleditch,Shannon Woodward"
1000,Nine Lives,Barry Sonnenfeld,"Kevin Spacey, Jennifer Garner, Robbie Amell,Cheryl Hines"
